LineId,Date,Time,Host,Component,PID,Content,EventId,EventTemplate,ParameterList
87,2021-03-08,10:17:01,hydra0,CRON,37748,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
88,2021-03-08,10:25:02,hydra0,CRON,37937,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
89,2021-03-08,10:25:02,hydra0,CRON,37937,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
90,2021-03-08,10:35:01,hydra0,CRON,38159,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
91,2021-03-08,10:35:01,hydra0,CRON,38159,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
92,2021-03-08,10:39:01,hydra0,CRON,38246,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
93,2021-03-08,10:39:01,hydra0,CRON,38246,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
94,2021-03-08,10:39:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
95,2021-03-08,10:39:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
96,2021-03-08,10:45:01,hydra0,CRON,38431,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
97,2021-03-08,10:45:01,hydra0,CRON,38431,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
98,2021-03-08,10:55:01,hydra0,CRON,38654,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
99,2021-03-08,10:55:01,hydra0,CRON,38654,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
100,2021-03-08,11:05:01,hydra0,CRON,38875,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
101,2021-03-08,11:05:01,hydra0,CRON,38875,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
102,2021-03-08,11:09:01,hydra0,CRON,38973,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
103,2021-03-08,11:09:01,hydra0,CRON,38973,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
104,2021-03-08,11:09:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
105,2021-03-08,11:09:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
106,2021-03-08,11:11:28,hydra0,sshd,39084,Accepted password for monster from 211.65.196.49 port 9348 ssh2,a0801c02,Accepted password for monster from <*> port <*> ssh2,"['211.65.196.49', '9348']"
107,2021-03-08,11:11:28,hydra0,sshd,39084,pam_unix(sshd:session): session opened for user monster by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(sshd:session):', 'monster', '(uid=0)']"
108,2021-03-08,11:11:28,hydra0,systemd-logind,1418,New session 238904 of user monster.,aee117f1,New session <*> of user monster.,['238904']
109,2021-03-08,11:15:01,hydra0,CRON,39250,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
110,2021-03-08,11:15:01,hydra0,CRON,39250,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
111,2021-03-08,11:17:01,hydra0,CRON,39298,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
112,2021-03-08,11:17:01,hydra0,CRON,39298,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
113,2021-03-08,11:25:01,hydra0,CRON,39485,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
114,2021-03-08,11:25:01,hydra0,CRON,39485,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
115,2021-03-08,11:35:01,hydra0,CRON,39709,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
116,2021-03-08,11:35:01,hydra0,CRON,39709,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
117,2021-03-08,11:39:01,hydra0,CRON,39798,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
118,2021-03-08,11:39:01,hydra0,CRON,39798,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
119,2021-03-08,11:39:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
120,2021-03-08,11:39:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
121,2021-03-08,11:45:01,hydra0,CRON,39983,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
122,2021-03-08,11:45:01,hydra0,CRON,39983,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
123,2021-03-08,11:55:01,hydra0,CRON,40221,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
124,2021-03-08,11:55:01,hydra0,CRON,40221,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
125,2021-03-08,12:05:01,hydra0,CRON,40443,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
126,2021-03-08,12:05:01,hydra0,CRON,40443,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
127,2021-03-08,12:09:01,hydra0,CRON,40536,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
128,2021-03-08,12:09:01,hydra0,CRON,40536,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
129,2021-03-08,12:09:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
130,2021-03-08,12:09:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
131,2021-03-08,12:15:01,hydra0,CRON,40725,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
132,2021-03-08,12:15:01,hydra0,CRON,40725,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
133,2021-03-08,12:17:01,hydra0,CRON,40770,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
134,2021-03-08,12:17:01,hydra0,CRON,40770,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
135,2021-03-08,12:25:01,hydra0,CRON,40951,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
